name,artists,year,cluster
Miami,['Will Smith'],1997,0
No Surprises,['Radiohead'],1997,1
Ocean Man,['Ween'],1997,0
Fuel,['Metallica'],1997,2
Beautiful Disaster,['311'],1997,2
Muchachita Consentida,['Rayito Colombiano'],1997,0
Tubthumping,['Chumbawamba'],1997,2
Life's a Dance,['John Michael Montgomery'],1997,0
Tearin' up My Heart - Radio Edit,['*NSYNC'],1997,0
They Don't Know,['Jon B.'],1997,0
Somebody's Baby,['Jackson Browne'],1997,0
Barbie Girl,['Aqua'],1997,0
Feel so Good,['Mase'],1997,0
Te Amo,['Los Mier'],1997,2
Rain,['SWV'],1997,1
Nice & Slow,['Usher'],1997,0
Blue on Black,['Kenny Wayne Shepherd'],1997,2
The General,['Dispatch'],1997,0
I Won't Say (I'm In Love),"['Susan Egan', 'Cheryl Freeman', 'LaChanze', 'Vaneese Thomas', 'Lillias White']",1997,1
Clavado En Un Bar,['Maná'],1997,2
She's Got It All,['Kenny Chesney'],1997,0
Bitch,['Meredith Brooks'],1997,0
Zero To Hero,"['Chorus - Hercules', 'Lillias White', 'Cheryl Freeman', 'LaChanze', 'Roz Ryan', 'Vaneese Thomas', 'Tawatha Agee']",1997,2
Exit Music (For a Film),['Radiohead'],1997,1
Walkin' On The Sun,['Smash Mouth'],1997,0
Gone Away,['The Offspring'],1997,2
It's Your Love,"['Tim McGraw', 'Faith Hill']",1997,2
Cheek To Cheek,"['Ella Fitzgerald', 'Louis Armstrong']",1997,1
My Own Prison,['Creed'],1997,2
En El Muelle De San Blas,['Maná'],1997,0
Put Your Hands Where My Eyes Could See,['Busta Rhymes'],1997,0
Angel,['Sarah McLachlan'],1997,1
El Tucanazo,['Los Tucanes De Tijuana'],1997,0
MMMBop,['Hanson'],1997,0
Be My Baby Tonight,['John Michael Montgomery'],1997,0
Corazón partío,['Alejandro Sanz'],1997,2
Hokus Pokus,['Insane Clown Posse'],1997,0
"Men In Black - From ""Men In Black"" Soundtrack",['Will Smith'],1997,0
I Gotta Be,['Jagged Edge'],1997,0
Historia sin fin,['Banda Machos'],1997,0
Paranoid Android,['Radiohead'],1997,2
The Rain (Supa Dupa Fly),['Missy Elliott'],1997,0
Procura,['ChiChi Peralta'],1997,0
I Wan'na Be Like You (The Monkey Song),"['Louis Prima', 'Phil Harris', 'Bruce Reitherman']",1997,0
Butta Love,['Next'],1997,0
Together Again,['Janet Jackson'],1997,0
All The Things (Your Man Won't Do),['Joe'],1997,0
Torn,['Natalie Imbruglia'],1997,0
The Gospel Truth I / Main Titles - Hercules,"['Cheryl Freeman', 'LaChanze', 'Vaneese Thomas', 'Lillias White', 'Roz Ryan']",1997,2
Come Go With Me,['The Del-Vikings'],1997,0
I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster,"['Diddy', '112', 'Faith Evans']",1997,0
Stop,['Spice Girls'],1997,0
Victory (feat. The Notorious B.I.G. & Busta Rhymes),"['Diddy', 'The Notorious B.I.G.', 'Busta Rhymes']",1997,0
Next Lifetime,['Erykah Badu'],1997,1
La Venia Bendita,['Marco Antonio Solís'],1997,1
Bang Bang,['Dispatch'],1997,0
A Mi Que Me Quedo,['Los Invasores De Nuevo León'],1997,0
The Purple People Eater,['Sheb Wooley'],1997,0
Burbons And Lacs,"['Master P', 'Silkk The Shocker', ""Lil' Gotti""]",1997,0
"Under the Sea - From ""The Little Mermaid"" / Soundtrack Version",['Samuel E. Wright'],1997,0
"Part of Your World - From ""The Little Mermaid"" / Soundtrack Version",['Jodi Benson'],1997,1
Thug Luv (feat. 2pac),"['Bone Thugs-N-Harmony', '2Pac']",1997,0
Honey,['Mariah Carey'],1997,0
Secuestro De Amor,['Los Tucanes De Tijuana'],1997,0
I Get Lonely,['Janet Jackson'],1997,0
Got 'Til It's Gone,"['Janet Jackson', 'Q-Tip', 'Joni Mitchell']",1997,0
The Unforgiven II,['Metallica'],1997,2
Can't Nobody Hold Me Down (feat. Mase),"['Diddy', 'Mase']",1997,0
Rumores,"['Joan Sebastian', 'Lisa Lopez']",1997,0
There She Goes,['Sixpence None The Richer'],1997,2
I Want You,['Savage Garden'],1997,0
Luchini AKA This Is It,['Camp Lo'],1997,0
Tú Me Quieres Lastimar,['Ladron'],1997,1
Are U Still Down?,['Jon B.'],1997,1
"Stay Awake - From ""Mary Poppins""/Soundtrack Version",['Julie Andrews'],1997,1
Pero La Recuerdo (Cumbia Santa María),"['Pancho Barraza', 'Mariachi Santa María']",1997,0
The Neden Game,['Insane Clown Posse'],1997,0
"Landslide - Live at Warner Brothers Studios in Burbank, CA 5/23/97",['Fleetwood Mac'],1997,1
Motorcycle Drive By,['Third Eye Blind'],1997,2
Anytime,['Brian McKnight'],1997,0
I Will Buy You A New Life,['Everclear'],1997,2
Por Debajo De La Mesa,['Luis Miguel'],1997,1
Besar Tu Piel,['Rayito Colombiano'],1997,0
Anniversary,['Tony! Toni! Toné!'],1997,0
Spice Up Your Life,['Spice Girls'],1997,2
Sky's the Limit (feat. 112) - 2014 Remaster,"['The Notorious B.I.G.', '112']",1997,0
Don't Let Go (Love),['En Vogue'],1997,0
Dance with Me,['Orleans'],1997,1
They Can't Take That Away From Me,"['Ella Fitzgerald', 'Louis Armstrong']",1997,1
Been Around the World (feat. The Notorious B.I.G. & Mase),"['Diddy', 'The Notorious B.I.G.', 'Mase']",1997,0
"A Spoonful of Sugar - From ""Mary Poppins"" / Soundtrack Version",['Julie Andrews'],1997,1
My All,['Mariah Carey'],1997,1
Superman's Dead,['Our Lady Peace'],1997,2
I Want You Back - Radio Edit,['*NSYNC'],1997,0
"Step In Time - From ""Mary Poppins""/Soundtrack Version","['Dick Van Dyke', 'The Chimney Sweep Chorus', 'Cast - Mary Poppins']",1997,1
Brick,['Ben Folds Five'],1997,1
Where Is My Mind?,['Pixies'],1997,1
Boogie Woogie Wu,['Insane Clown Posse'],1997,0
Ladies and Gentlemen We Are Floating in Space,['Spiritualized'],1997,1
No Weapon,"['Fred Hammond', 'Radical For Christ']",1997,1
Crush on You (feat. Lil' Cease) - Remix,"[""Lil' Kim"", ""Lil' Cease""]",1997,0
"Honey, I'm Home",['Shania Twain'],1997,2
Graduate,['Third Eye Blind'],1997,2
Step into a World (Rapture's Delight),['KRS-One'],1997,0
Chan Chan,['Buena Vista Social Club'],1997,2
Amiga mía,['Alejandro Sanz'],1997,2
Appletree,['Erykah Badu'],1997,0
Sister Christian,['Night Ranger'],1997,2
I Can Love You,"['Mary J. Blige', ""Lil' Kim""]",1997,2
The Thrill Is Gone,"['B.B. King', 'Tracy Chapman']",1997,1
Shelf In The Room,['Days Of The New'],1997,1
Voodoo Child (Slight Return),['Jimi Hendrix'],1997,2
All Along the Watchtower,['Jimi Hendrix'],1997,2
"It's All About the Benjamins (feat. The Notorious B.I.G., Lil' Kim & The Lox) - Remix","['Diddy', 'The Notorious B.I.G.', ""Lil' Kim"", 'The LOX']",1997,0
Dig Up Her Bones,['Misfits'],1997,2
Engel,['Rammstein'],1997,1
Faith,['Limp Bizkit'],1997,0
"I'm Alright - Theme from ""Caddyshack""",['Kenny Loggins'],1997,2
Echarme Al Olvido,['Grupo Cañaveral De Humberto Pabón'],1997,0
Coolie High,['Camp Lo'],1997,0
No One Else On Earth,['Wynonna'],1997,0
Angeles,['Elliott Smith'],1997,1
The Perfect Drug,['Nine Inch Nails'],1997,2
Say Yes,['Elliott Smith'],1997,1
Suavecito Suavecito,['Laura Leon'],1997,0
Payaso de rodeo,['Caballo Dorado'],1997,0
Blood on the Dance Floor,['Michael Jackson'],1997,0
My Body,['LSG'],1997,1
Breakdown (feat. Krayzie Bone & Wish Bone),"['Mariah Carey', 'Krayzie Bone', 'Wishbone']",1997,1
Adrenaline Rush,['Twista'],1997,2
"All the Times (feat. Faith Evans, Coko & Missy Elliott)","['LSG', 'Coko', 'Faith Evans', 'Missy Elliott']",1997,1
Let Down,['Radiohead'],1997,1
Hitchin' a Ride,['Green Day'],1997,2
Subterranean Homesick Alien,['Radiohead'],1997,2
Queen Bee,['Taj Mahal'],1997,1
"Kiss the Girl - From ""The Little Mermaid""/ Soundtrack Version",['Samuel E. Wright'],1997,0
Tiburon,['Proyecto Uno'],1997,0
Treat Her Like A Lady,['The Temptations'],1997,0
Hybrid Moments,['Misfits'],1997,2
Black,['Sevendust'],1997,0
Iris,['The Goo Goo Dolls'],1998,2
Dragula,['Rob Zombie'],1998,2
Jingle Bell Rock,['Bobby Helms'],1998,0
Careless Whisper,['George Michael'],1998,2
Freak On a Leash,['Korn'],1998,2
"Merry Christmas, Happy Holidays",['*NSYNC'],1998,0
Back That Azz Up,"['Juvenile', 'Lil Wayne', 'Mannie Fresh']",1998,0
The Kids Aren't Alright,['The Offspring'],1998,0
Doo Wop (That Thing),['Ms. Lauryn Hill'],1998,1
One Week,['Barenaked Ladies'],1998,0
Inside Out,['Eve 6'],1998,2
Save Tonight,['Eagle-Eye Cherry'],1998,0
"I'll Make a Man Out of You - From ""Mulan""/Soundtrack","['Donny Osmond', 'Chorus - Mulan']",1998,1
Slide,['The Goo Goo Dolls'],1998,2
Wide Open Spaces,['The Chicks'],1998,2
You Get What You Give,['New Radicals'],1998,0
Hit 'Em Up - Single Version,"['2Pac', 'Outlawz']",1998,0
Cowboy,['Kid Rock'],1998,2
Lost,"['T-Dre', 'Delux', 'Cali Life Style']",1998,1
Living Dead Girl,['Rob Zombie'],1998,2
Wanna Be A Baller,"[""Lil' Troy""]",1998,0
Still Not a Player (feat. Joe) - Radio Version,"['Big Pun', 'Joe']",1998,0
Bawitdaba,['Kid Rock'],1998,2
Meet Virginia,['Train'],1998,0
Voodoo,['Godsmack'],1998,0
Intergalactic - Remastered,['Beastie Boys'],1998,0
Changes,"['2Pac', 'Talent']",1998,0
"Boom, Boom, Boom, Boom!!",['Vengaboys'],1998,0
Hail Mary,['2Pac'],1998,0
A Holly Jolly Christmas - Single Version,['Burl Ives'],1998,0
Believe,['Cher'],1998,2
Ex-Factor,['Ms. Lauryn Hill'],1998,0
Sugar,['System Of A Down'],1998,2
Ruff Ryders' Anthem,['DMX'],1998,0
In the Aeroplane Over the Sea,['Neutral Milk Hotel'],1998,1
Pretty Fly (For A White Guy),['The Offspring'],1998,0
Mi Enemigo El Amor,['Pancho Barraza'],1998,0
What It's Like,['Everlast'],1998,1
Torn,['Natalie Imbruglia'],1998,0
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",['Aerosmith'],1998,1
Rosa Parks,['OutKast'],1998,0
California Love - Original Version,"['2Pac', 'Roger', 'Dr. Dre']",1998,0
Christmas Time Is Here - Vocal - Album Version,['Vince Guaraldi Trio'],1998,1
I Don't Want To Set The World On Fire,['The Ink Spots'],1998,1
Why Don't You Get A Job,['The Offspring'],1998,0
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",['Aerosmith'],1998,1
Whiskey In The Jar,['Metallica'],1998,2
So Into You,['Tamia'],1998,2
Only God Knows Why,['Kid Rock'],1998,2
How Do U Want It,"['2Pac', 'K-Ci & JoJo']",1998,0
Superman,['Goldfinger'],1998,2
Pickup Man,['Joe Diffie'],1998,0
Every Morning,['Sugar Ray'],1998,0
Bye-Bye,['Jo Dee Messina'],1998,0
Amor Platónico,['Los Tucanes De Tijuana'],1998,0
The Boy Is Mine,"['Brandy', 'Monica']",1998,0
John Deere Green,['Joe Diffie'],1998,0
Fly Away,['Lenny Kravitz'],1998,2
Twinz (Deep Cover 98) (feat. Fat Joe),"['Big Pun', 'Fat Joe']",1998,0
Hard Knock Life (Ghetto Anthem),['JAY-Z'],1998,0
Can't Take My Eyes Off of You - (I Love You Baby),['Ms. Lauryn Hill'],1998,0
I'm Alright,['Jo Dee Messina'],1998,0
Nothing Even Matters (feat. D'Angelo),"['Ms. Lauryn Hill', ""D'Angelo""]",1998,1
Los Caminos De La Vida,['La Tropa Vallenata'],1998,0
"A Girl Worth Fighting For - From ""Mulan""/Soundtrack","['Lea Salonga', 'Harvey Fierstein', 'Matthew Wilder', 'James Hong', 'Jerry Tondo']",1998,2
Celebrity Skin,['Hole'],1998,2
Love Like This,['Faith Evans'],1998,0
There's Your Trouble,['The Chicks'],1998,0
This Kiss,['Faith Hill'],1998,2
I'm From The Country - Single Version,['Tracy Byrd'],1998,0
The Way,['Fastball'],1998,0
Angel of Mine,['Monica'],1998,1
Safety Dance,['Men Without Hats'],1998,0
Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),"['Pras', ""Ol' Dirty Bastard"", 'Mýa']",1998,0
2 Of Amerikaz Most Wanted,"['2Pac', 'Snoop Dogg']",1998,0
My Hometown,['Charlie Robison'],1998,2
Turn The Page,['Metallica'],1998,2
Sweet Lady,['Tyrese'],1998,1
California Stars,"['Billy Bragg', 'Wilco']",1998,0
Never There,['Cake'],1998,0
Christmas Canon,['Trans-Siberian Orchestra'],1998,1
"Holland, 1945",['Neutral Milk Hotel'],1998,2
Spiders,['System Of A Down'],1998,1
Got You (Where I Want You),['The Flys'],1998,1
SpottieOttieDopaliscious,['OutKast'],1998,0
Como Te Recuerdo,['Los Temerarios'],1998,1
This Year's Love,['David Gray'],1998,1
Have You Ever,['Brandy'],1998,1
Teardrop,['Massive Attack'],1998,1
Suavemente,['Elvis Crespo'],1998,0
Money Ain't a Thang (feat. Jay-Z),"['Jermaine Dupri', 'JAY-Z']",1998,0
Blue Monday,['Orgy'],1998,0
Tell Him,['Ms. Lauryn Hill'],1998,0
Whatever,['Godsmack'],1998,2
Hungry Like the Wolf,['Duran Duran'],1998,0
Beauty,['Dru Hill'],1998,1
RUNNING IN THE 90'S,['Max Coveri'],1998,2
Someday,['Sugar Ray'],1998,0
Espejeando,['Los Tucanes De Tijuana'],1998,0
Necesito Decirte,['Conjunto Primavera'],1998,1
Black Balloon,['The Goo Goo Dolls'],1998,1
Babylon,['David Gray'],1998,1
Nobody's Supposed to Be Here,['Deborah Cox'],1998,1
We Can Freak It,['Kurupt'],1998,0
Botella Envenenada,['Los Temerarios'],1998,1
My Little Secret,['Xscape'],1998,0
It's All About Me,['Mýa'],1998,0
American Woman,['Lenny Kravitz'],1998,0
The Fresh Prince of Bel-Air,['DJ Jazzy Jeff & The Fresh Prince'],1998,0
Above The Clouds,"['Gang Starr', 'Inspectah Deck']",1998,2
I Do (Cherish You),['98º'],1998,1
To Live & Die In L.A.,['2Pac'],1998,2
My Love Is Your Love,['Whitney Houston'],1998,0
The Dope Show,['Marilyn Manson'],1998,2
La Pareja Ideal,['Marisela'],1998,1
Lesson In Leavin',['Jo Dee Messina'],1998,0
Work,['Gang Starr'],1998,0
You Were Mine,['The Chicks'],1998,1
"Ciega, Sordomuda",['Shakira'],1998,0
Maracas,"['Joan Sebastian', 'Alberto Vazquez']",1998,0
Mi Ultimo Contrabando,['Beto Quintanilla'],1998,0
When You Believe (with Mariah Carey) - from The Prince of Egypt,"['Whitney Houston', 'Mariah Carey']",1998,1
"Reflection - From ""Mulan"" / Soundtrack Version",['Lea Salonga'],1998,1
I Ain't Mad At Cha,"['2Pac', 'Danny Boy']",1998,0
18 and Life,['Skid Row'],1998,1
All My Best Friends Are Metalheads,['Less Than Jake'],1998,0
Por Que Te Conocí,['Los Temerarios'],1998,0
El Privilegio De Amar,['Mijares'],1998,2
Suite-Pee,['System Of A Down'],1998,2
California Love - Original Version,"['2Pac', 'Roger', 'Dr. Dre']",1998,0
Laid,['James'],1998,2
Feelin' Good Again,['Robert Earl Keen'],1998,1
For You I Will,['Monica'],1998,1
"Hey, Good Lookin'","['Hank Williams', 'Drifting Cowboys']",1998,0
"Te Quiero Tanto, Tanto",['Onda Vaselina'],1998,1
Jambalaya (On The Bayou),['Hank Williams'],1998,0
I Get Around,"['2Pac', 'Shock G', 'Money B']",1998,0
It's All Been Done,['Barenaked Ladies'],1998,2
Crush,['Dave Matthews Band'],1998,0
Same Old Train,"['Marty Stuart', 'Earl Scruggs', 'Clint Black', 'Joe Diffie', 'Merle Haggard', 'Emmylou Harris', 'Alison Krauss', 'Patty Loveless', 'Ricky Skaggs', 'Pam Tillis', 'Randy Travis', 'Travis Tritt', 'Dwight Yoakam']",1998,1
I Just Want To Dance With You,['George Strait'],1998,0
Keep Away,['Godsmack'],1998,2
It's Not Right But It's Okay,['Whitney Houston'],1998,0
Picture Me Rollin',"['2Pac', 'Danny Boy', 'Syke', 'C-PO']",1998,0
Dry the Rain,['The Beta Band'],1998,2
Everything Is Everything,['Ms. Lauryn Hill'],1998,0
I Knew You Were Waiting (For Me),"['George Michael', 'Aretha Franklin']",1998,0
Life Goes On,['2Pac'],1998,0
Waltz #2 (XO),['Elliott Smith'],1998,0
Out Of My Head,['Fastball'],1998,1
Inevitable,['Shakira'],1998,1
Esos Tus Ojos,['Grupo Laberinto'],1998,0
Build Me Up Buttercup,['The Foundations'],1998,0
Should've Been A Cowboy,['Toby Keith'],1998,2
Touch It,['Monifah'],1998,0
Vuelve,['Ricky Martin'],1998,1
Da Art of Storytellin' (Pt. 1),['OutKast'],1998,0
Holes In The Floor Of Heaven,['Steve Wariner'],1998,1
Las Heladas,['Los Tucanes De Tijuana'],1998,0
I Do (Cherish You),['Mark Wills'],1998,1
Chunk up the Deuce,"['Lil Keke', 'UGK']",1998,0
Ya No Me Mires Así,['Banda Cuisillos'],1998,0
Softest Place On Earth,['Xscape'],1998,1
Compréndala,['Cardenales De Nuevo León'],1998,0
Strong Enough,['Cher'],1998,2
C'est La Vie,['B*Witched'],1998,0
Tu Sonrisa,['Elvis Crespo'],1998,0
"Money, Power & Respect (feat. DMX & Lil' Kim)","['The LOX', 'DMX', ""Lil' Kim""]",1998,0
Don't Leave Me This Way,['Thelma Houston'],1998,0
Estaba Solo,['Los Temerarios'],1998,2
War?,['System Of A Down'],1998,2
Malibu,['Hole'],1998,2
Anywhere,['112'],1998,0
Two-Headed Boy,['Neutral Milk Hotel'],1998,2
C-Walk,"['Kurupt', 'Tray Dee', 'Slip Capone']",1998,0
Something About the Name Jesus,['Kirk Franklin'],1998,1
Ojos Así,['Shakira'],1998,0
Happy Xmas (War Is Over),['Céline Dion'],1998,2
We'll Meet Again,['The Ink Spots'],1998,1
I Fought the Law - Single Version,['The Bobby Fuller Four'],1998,0
No Scrubs,['TLC'],1999,0
All The Small Things,['blink-182'],1999,2
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"['Perry Como', 'The Fontane Sisters', 'Mitchell Ayres & His Orchestra']",1999,0
Still D.R.E.,"['Dr. Dre', 'Snoop Dogg']",1999,0
Californication,['Red Hot Chili Peppers'],1999,1
All Star,['Smash Mouth'],1999,0
Say My Name,"[""Destiny's Child""]",1999,0
My Own Worst Enemy,['Lit'],1999,0
I Want It That Way,['Backstreet Boys'],1999,0
Forgot About Dre,"['Dr. Dre', 'Eminem']",1999,0
What's My Age Again?,['blink-182'],1999,2
Drive,['Incubus'],1999,0
Scar Tissue,['Red Hot Chili Peppers'],1999,0
Otherside,['Red Hot Chili Peppers'],1999,2
The Next Episode,"['Dr. Dre', 'Snoop Dogg']",1999,0
...Baby One More Time,['Britney Spears'],1999,0
Break Stuff,['Limp Bizkit'],1999,2
She's so High,['Tal Bachman'],1999,2
Pony,['Ginuwine'],1999,0
Learn to Fly,['Foo Fighters'],1999,2
Write This Down,['George Strait'],1999,0
"Jumpin', Jumpin'","[""Destiny's Child""]",1999,0
Cowboy Take Me Away,['The Chicks'],1999,2
Pardon Me,['Incubus'],1999,2
Falling Away from Me,['Korn'],1999,1
Get Down On It,['Kool & The Gang'],1999,0
My Name Is,['Eminem'],1999,0
Guerrilla Radio,['Rage Against The Machine'],1999,0
Adam's Song,['blink-182'],1999,2
With Arms Wide Open,['Creed'],1999,1
Higher,['Creed'],1999,2
Something Like That,['Tim McGraw'],1999,2
Genie In a Bottle,['Christina Aguilera'],1999,2
Amazed,['Lonestar'],1999,1
Butterfly,['Crazy Town'],1999,0
Mudshovel,['Staind'],1999,2
Llorar,['Los Socios Del Ritmo'],1999,0
She Thinks My Tractor's Sexy,['Kenny Chesney'],1999,0
I Try,['Macy Gray'],1999,0
Xxplosive,"['Dr. Dre', 'Hittman', 'Six-Two', 'Nate Dogg', 'Kurupt']",1999,0
"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version",['Phil Collins'],1999,0
Never Let You Go - 2008 Remaster,['Third Eye Blind'],1999,0
Smooth (feat. Rob Thomas),"['Santana', 'Rob Thomas']",1999,0
Back At One,['Brian McKnight'],1999,1
When Worlds Collide,['Powerman 5000'],1999,2
Livin' la Vida Loca,['Ricky Martin'],1999,2
Testify,['Rage Against The Machine'],1999,2
Big Pimpin',"['JAY-Z', 'UGK']",1999,0
Ms. Fat Booty,['Mos Def'],1999,0
Electric Relaxation,['A Tribe Called Quest'],1999,0
In Spite of Ourselves (feat. Iris DeMent),"['John Prine', 'Iris DeMent']",1999,1
I Just Called To Say I Love You,['Stevie Wonder'],1999,0
What's The Difference,"['Dr. Dre', 'Eminem', 'Xzibit']",1999,0
Everything You Want,['Vertical Horizon'],1999,0
Sleep Now In the Fire,['Rage Against The Machine'],1999,2
Last Kiss,['Pearl Jam'],1999,0
Jessie's Girl,['Rick Springfield'],1999,0
Got Your Money (feat. Kelis),"[""Ol' Dirty Bastard"", 'Kelis', 'Rich Travali']",1999,0
"Outstanding - Original 12"" Mix",['The Gap Band'],1999,0
Push It,['Static-X'],1999,2
Breathe,['Faith Hill'],1999,1
"Bills, Bills, Bills","[""Destiny's Child""]",1999,0
Lit Up,['Buckcherry'],1999,0
I Don't Need Your Rockin' Chair - Version w/special guests,"['Mark Chesnutt', 'George Jones', 'Vince Gill', 'Patty Loveless', 'Garth Brooks', 'Clint Black', 'Alan Jackson', 'Travis Tritt', 'Joe Diffie', 'Pam Tillis', 'T. Graham Brown']",1999,0
Let's Get Loud,['Jennifer Lopez'],1999,0
You Got Me,"['The Roots', 'Tariq Trotter', 'Erykah Badu', 'Eve']",1999,0
Goodbye Earl,['The Chicks'],1999,0
Everyday People,['Sly & The Family Stone'],1999,0
Thong Song,['Sisqo'],1999,0
Maria Maria (feat. The Product G&B),"['Santana', 'The Product G&B']",1999,0
"Strangers Like Me - From ""Tarzan""/Soundtrack Version",['Phil Collins'],1999,0
Faded Pictures,"['Case', 'Joe']",1999,0
Some Kind Of Wonderful - Remastered 1999,['Grand Funk Railroad'],1999,0
96 Quite Bitter Beings,['CKY'],1999,0
Wait and Bleed,['Slipknot'],1999,2
That Don't Impress Me Much,['Shania Twain'],1999,0
Take a Picture,['Filter'],1999,1
Dependo Cada Día Más De Ti,['Grupo Exterminador'],1999,1
Larger Than Life,['Backstreet Boys'],1999,0
Nookie,['Limp Bizkit'],1999,2
How Forever Feels,['Kenny Chesney'],1999,0
Where I Wanna Be,['Donell Jones'],1999,1
How Do You Like Me Now?!,['Toby Keith'],1999,0
I Knew I Loved You,['Savage Garden'],1999,0
El Listón De Tu Pelo,['Los Ángeles Azules'],1999,0
Supe Perder,['Los Caminantes'],1999,0
The Bad Touch,['Bloodhound Gang'],1999,0
Right Where I Need To Be,['Gary Allan'],1999,0
What a Girl Wants,['Christina Aguilera'],1999,0
"Take My Breath Away - Love Theme from ""Top Gun""",['Berlin'],1999,0
Si No Te Hubieras Ido,['Marco Antonio Solís'],1999,0
Hanginaround,['Counting Crows'],1999,0
I Don't Wanna,['Aaliyah'],1999,0
Fuerte No Soy,['Intocable'],1999,1
Come on over Baby (All I Want Is You) - Radio Version,['Christina Aguilera'],1999,0
"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)","['Donell Jones', 'Lisa ""Left Eye"" Lopes']",1999,0
Change the World,['Eric Clapton'],1999,0
So Anxious,['Ginuwine'],1999,0
Thank You,['Dido'],1999,0
(There's No Place Like) Home for the Holidays - 1954 Version,['Perry Como'],1999,1
My Best Friend,['Tim McGraw'],1999,1
Stellar,['Incubus'],1999,2
Waiting for Tonight,['Jennifer Lopez'],1999,0
The Way You Love Me,['Faith Hill'],1999,0
Carry the Zero,['Built To Spill'],1999,2
Mathematics,['Mos Def'],1999,0
Sometimes,['Britney Spears'],1999,0
Full Clip,['Gang Starr'],1999,0
Where My Girls At,['702'],1999,0
Canned Heat,['Jamiroquai'],1999,0
Unpretty,['TLC'],1999,0
Mi Eterno Amor Secreto,['Marco Antonio Solís'],1999,1
If You Had My Love,['Jennifer Lopez'],1999,0
Deceptacon,['Le Tigre'],1999,2
Teenage Dirtbag,['Wheatus'],1999,0
Role Model,['Eminem'],1999,0
Mi Amuleto Eres Tú,['Vagon Chicano'],1999,0
I Put a Spell on You,"[""Screamin' Jay Hawkins""]",1999,0
Wiggy,['South Park Mexican'],1999,1
Voy a Pintar Mi Raya,['Banda Arkangel R-15'],1999,1
Bring It All to Me (feat. *NSYNC),"['Blaque', '*NSYNC']",1999,0
Trashin' The Camp,"[""Rosie O'Donnell"", 'Phil Collins', 'Cast - Tarzan']",1999,0
Smooth (feat. Rob Thomas),"['Santana', 'Rob Thomas']",1999,0
Summer Girls,['LFO'],1999,0
Never Meant,['American Football'],1999,2
"Up Where We Belong - From ""An Officer And A Gentleman""","['Joe Cocker', 'Jennifer Warnes']",1999,1
Just Don't Give A Fuck,['Eminem'],1999,0
Show Me the Meaning of Being Lonely,['Backstreet Boys'],1999,2
17 Años,['Los Ángeles Azules'],1999,0
Happily Ever After,['Case'],1999,0
You'll Be In My Heart,"['Glenn Close', 'Phil Collins']",1999,1
Spend My Life With You,"['Eric Benét', 'Tamia', 'Kevin ""K.D."" Davis']",1999,1
Porcelain,['Moby'],1999,1
Better Days (And the Bottom Drops Out),['Citizen King'],1999,0
Hate Me Now (feat. Puff Daddy),"['Nas', 'Diddy']",1999,0
Pokémon Theme,['Pokémon'],1999,2
Hey Jealousy,['Gin Blossoms'],1999,2
That's the Way It Is,['Céline Dion'],1999,0
My Own Worst Enemy,['Lit'],1999,2
(You Drive Me) Crazy,['Britney Spears'],1999,0
Aliens Exist,['blink-182'],1999,2
Amor Sin Palabras,['Los Caminantes'],1999,0
You Spin Me Round (Like A Record),['Dope'],1999,0
Dumpweed,['blink-182'],1999,2
"Tao, Tao",['Control'],1999,0
What These Bitches Want,"['DMX', 'Sisqo']",1999,2
Conversation With The Devil,['Ray Wylie Hubbard'],1999,0
Entre Más Lejos Me Vaya,['Los Caminantes'],1999,0
It's Goin' Down,['Celly Cel'],1999,0
Turn Your Lights Down Low,"['Bob Marley & The Wailers', 'Ms. Lauryn Hill']",1999,0
When I B On Tha Mic,['Rakim'],1999,0
Just Kickin' It,['Xscape'],1999,0
Amie,['Pure Prairie League'],1999,1
Por Amarte Así,['Cristian Castro'],1999,1
Te Quiero Mucho,['Los Rieleros Del Norte'],1999,0
Californication,['Red Hot Chili Peppers'],1999,1
Meeting in My Bedroom,['Silk'],1999,1
La Novelita,['Aventura'],1999,0
Ready to Run,['The Chicks'],1999,1
Parallel Universe,['Red Hot Chili Peppers'],1999,2
The Book of Love,['The Magnetic Fields'],1999,1
Fruta Fresca,['Carlos Vives'],1999,2
UMI Says,['Mos Def'],1999,0
Going Away To College,['blink-182'],1999,0
Thank You,['Dido'],1999,0
San Francisco Knights,['People Under The Stairs'],1999,0
Hey Leonardo (She Likes Me for Me),['Blessid Union Of Souls'],1999,0
The Watcher,"['Dr. Dre', 'Eminem', ""Knoc-Turn'al""]",1999,0
Make Me Bad,['Korn'],1999,2
Prisión De Amor,['Los Tigres Del Norte'],1999,0
"Danger Zone - From ""Top Gun"" Original Soundtrack",['Kenny Loggins'],1999,2
Into Each Life Some Rain Must Fall - Single Version,"['The Ink Spots', 'Ella Fitzgerald']",1999,1
Inventame,['Marco Antonio Solís'],1999,1
Kick Down,['Long Beach Dub Allstars'],1999,0
Road Trippin',['Red Hot Chili Peppers'],1999,1
